"category","word","meaning","example","translation","count"
"topic vocab","vulnerable (adjective) 2","Easily hurt or affected","The elderly are more vulnerable to cold weather.","dễ bị tổn thương",0
"topic vocab","waive (verb)","To give up a right or claim voluntarily","She waived the late fee due to the emergency.","từ bỏ",0
"topic vocab","wary (adjective)","Cautious or suspicious","He’s wary of strangers offering deals.","cảnh giác",0
"topic vocab","whim (noun)","A sudden and unplanned idea or desire","They took a trip on a whim last weekend.","ý tưởng bất chợt",0
"topic vocab","whimsical (adjective)","Playfully unusual or imaginative","The decorations had a whimsical charm.","kỳ quặc, vui nhộn",0
"topic vocab","withstand (verb)","To endure or resist something successfully","This tent can withstand heavy winds.","chịu đựng",0
"topic vocab","wield (verb)","To handle and use effectively","The knight wielded his sword with skill.","sử dụng",0
"topic vocab","writhe (verb)","To twist the body, often in pain","He writhed in pain after twisting his ankle.","quằn quại",0
"topic vocab","self-study (n)","Learning done without a teacher’s help","She relied on self-study to pass the exam.","tự học",0
"topic vocab","seminar (n)","A discussion-based academic class","They had a seminar on climate policy.","hội thảo",0
"topic vocab","special needs (n)","Educational or physical requirements for people with disabilities","The school supports children with special needs.","nhu cầu đặc biệt",0
"topic vocab","tuition (n)","Instruction or fees paid for teaching services","He receives private tuition to improve his math skills.","học phí, giảng dạy",0
"topic vocab","tutorial (n)","A session where a small group discusses a topic with a teacher","The climate adaptation tutorial was very enlightening.","bài hướng dẫn",0
"topic vocab","adapt (v)","To adjust thoughts or behavior for a new condition","A smart company adapts to market changes quickly.","thích nghi",0
"topic vocab","adjust (v)","To change slightly to improve accuracy or function","You can adjust the brightness using that knob.","điều chỉnh",0
"topic vocab","alternate (v)","To switch repeatedly between two things","We alternate between study and rest every hour.","luân phiên",0
"topic vocab","alternate (adj)","Happening in turns or every other time","She works alternate weekends.","xen kẽ",0
"topic vocab","alternative (adj)","Offering a different choice or substitute","We’ll take an alternative route to avoid traffic.","thay thế",0
"topic vocab","amend (v)","To revise or improve a rule, law, or document","Please amend the document before submitting.","sửa đổi",0
"topic vocab","conservative (adj)","Resistant to change; traditional","The community was quite conservative in its views.","bảo thủ",0
"topic vocab","convert (v)","To switch systems or forms","The files were converted to a different format.","chuyển đổi",0
"topic vocab","convert (v) 2","To adopt a different belief, especially religious","She converted to Buddhism last year.","thay đổi tín ngưỡng",0
"topic vocab","convert (n)","A person who adopts new beliefs","He’s a recent convert to vegetarianism.","người cải đạo",0
"topic vocab","decay (v) 2","To slowly break down over time due to natural causes","The old building began to decay.","phân rã",0
"topic vocab","decay (n) 2","The process of breaking down gradually","Tooth decay is caused by sugary foods.","suy thoái",0
"topic vocab","deteriorate (v)","To become worse over time","The road surface has deteriorated badly.","trở nên tồi tệ hơn",0
"topic vocab","distort (v)","To twist something out of its true meaning","The article distorted the politician’s statement.","bóp méo",0
"topic vocab","dynamic (adj)","Constantly changing or evolving","Technology is a dynamic field.","năng động",0
"topic vocab","endure (v)","To suffer through something difficult","They endured the harsh winter conditions.","chịu đựng",0
"topic vocab","endure (v) 2","To last or continue over time","Their legacy has endured for generations.","kéo dài",0
"topic vocab","evolve (v)","To grow or change gradually","The system evolved over time.","tiến hóa",0
"topic vocab","evolve (v) 2","To gradually transform into something new","Our policies evolved to reflect new priorities.","tiến triển",0
"topic vocab","influence (v)","To affect someone’s thoughts or behavior","Media influences public opinion heavily.","ảnh hưởng",0
"topic vocab","influence (n)","The power to affect others","Her influence over the group is undeniable.","sức ảnh hưởng",0
"topic vocab","innovation (n)","A new method, idea, or device","Innovation is key to staying competitive.","sự đổi mới",0
"topic vocab","innovative (adj)","Introducing new ideas or methods","He proposed several innovative solutions.","có tính đổi mới",0
"topic vocab","last (v)","To continue to exist or happen for a duration","The movie lasts about two hours.","kéo dài",0
"topic vocab","maintain (v)","To keep something the same over time","He struggles to maintain his current lifestyle.","duy trì",0
"topic vocab","mature (v)","To develop into an adult or become more sensible","As you mature, your perspective will change.","trưởng thành",0
"topic vocab","mature (adj)","Behaving responsibly like an adult","He's more mature than most kids his age.","có tính trưởng thành",0
"topic vocab","modify (v)","To make slight improvements or adjustments","They modified the plan to avoid delays.","chỉnh sửa",0
"topic vocab","novel (adj)","New, original, or unusual","He introduced a novel method of teaching.","mới lạ",0
"topic vocab","persist (v)","To continue doing something despite difficulty or opposition","If you persist in lying, no one will trust you.","khăng khăng",0
"topic vocab","potential (n)","The ability to grow or achieve something in the future","She has great potential as a leader.","tiềm năng",0
"topic vocab","potential (adj)","Capable of becoming real in the future","That area is a potential development site.","thuộc tiềm năng",0
"topic vocab","progress (v)","To improve or move forward over time","The patient has progressed well since surgery.","tiến triển",0
"topic vocab","optimistic (adj) /ˌɒptɪˈmɪstɪk/","Feeling hopeful or positive about the future","He gave an optimistic speech about the economy.","tích cực",0
"topic vocab","paradox (n) /ˈpærədɒks/","A situation that seems contradictory but may be true","It’s a paradox that poorer people often donate more.","nghịch lý",0
"topic vocab","pessimistic (adj) /ˌpesɪˈmɪstɪk/","Expecting the worst or having little hope for the future","He’s pessimistic about finding a new job.","bi quan",0
"topic vocab","plausible (adj) /ˈplɔːzəbl/","Seeming likely or reasonable","His story sounded plausible, but still suspicious.","hợp lý, đáng tin",0
